old_url,old_path,new_path,redirect_status,confidence,include_in_public_redirects,evidence,notes
https://www.traditional-homes.gr/,/,/en/,301,high,yes,Old root redirects to English Joomla homepage and new Astro root already redirects to /en/.,Preserve English homepage as canonical landing route.
https://www.traditional-homes.gr/leonidas,/leonidas,/en/houses/leonidas/,301,high,yes,GSC 404 example 2026-08-31 plus existing verified Leonidas current route.,Exact legacy property URL; no trailing-slash variant added without independent evidence.
https://www.traditional-homes.gr/index.php,/index.php,/en/,301,high,yes,Existing redirect rule and Joomla entry point.,Keep exact rule; no wildcard.
https://www.traditional-homes.gr/index.php/en,/index.php/en,/en/,301,high,yes,Old English homepage title matches new English homepage purpose.,Exact legacy homepage path.
https://www.traditional-homes.gr/index.php/en/,/index.php/en/,/en/,301,high,yes,Old English homepage title matches new English homepage purpose.,Exact legacy homepage path with trailing slash.
https://www.traditional-homes.gr/index.php/en/about-us-2,/index.php/en/about-us-2,/en/houses/,301,high,yes,Old title is Elounda houses; new route is the houses collection.,Collection-to-collection mapping.
https://www.traditional-homes.gr/index.php/en/about-us-2/argyro,/index.php/en/about-us-2/argyro,/en/houses/argyro/,301,high,yes,Old title is Argyro house; new route is House Argyro.,Property slug matches.
https://www.traditional-homes.gr/index.php/en/about-us-2/clio,/index.php/en/about-us-2/clio,/en/houses/clio/,301,high,yes,Old title is Clio house; new route is House Clio.,Property slug matches.
https://www.traditional-homes.gr/index.php/en/about-us-2/dimitra,/index.php/en/about-us-2/dimitra,/en/houses/demetra/,301,high,yes,Old title is Dimitra house; new inventory uses House Demetra with alias Dimitra.,Spelling migration covered by inventory alias and slug-decisions note.
https://www.traditional-homes.gr/index.php/en/about-us-2/efterpi,/index.php/en/about-us-2/efterpi,/en/houses/efterpi/,301,high,yes,Old title is Efterpi house; new route is House Efterpi.,Property slug matches.
https://www.traditional-homes.gr/index.php/en/about-us-2/erato,/index.php/en/about-us-2/erato,/en/houses/erato/,301,high,yes,Old title is Erato house; new route is House Erato.,Property slug matches.
https://www.traditional-homes.gr/index.php/en/about-us-2/kalliopi,/index.php/en/about-us-2/kalliopi,/en/houses/kalliopi/,301,high,yes,Old title is Kalliopi house; new route is House Kalliopi.,Property slug matches.
https://www.traditional-homes.gr/index.php/en/about-us-2/leonidas,/index.php/en/about-us-2/leonidas,/en/houses/leonidas/,301,high,yes,Old title is Leonidas house; new route is House Leonidas.,Property slug matches.
https://www.traditional-homes.gr/index.php/en/about-us-2/margarita,/index.php/en/about-us-2/margarita,/en/houses/margarita/,301,high,yes,Old title is Margarita house; new route is House Margarita.,Property slug matches.
https://www.traditional-homes.gr/index.php/en/about-us-2/monastery,/index.php/en/about-us-2/monastery,/en/houses/monastiri/,301,high,yes,Old title is Monastery house; new route is House Monastiri.,Legacy English name maps to the current Monastiri slug.
https://www.traditional-homes.gr/index.php/en/about-us-2/penelope,/index.php/en/about-us-2/penelope,/en/houses/penelope/,301,high,yes,Old title is Penelope house; new route is House Penelope.,Property slug matches.
https://www.traditional-homes.gr/index.php/en/almond-tree-villas,/index.php/en/almond-tree-villas,/en/villa/almond-tree-villa/,301,high,yes,Old title is Almond tree villas; new route is Almond Tree Villa.,Closest and only current villa route.
https://www.traditional-homes.gr/index.php/en/apartments,/index.php/en/apartments,/en/houses/,301,medium,no,Old title is Elounda apartments; no current apartments route exists.,Needs review before publishing a redirect.
https://www.traditional-homes.gr/index.php/en/contact,/index.php/en/contact,/en/contact/,301,high,yes,Old title is Contact Us; new route is /en/contact/.,Direct page equivalent.
https://www.traditional-homes.gr/index.php/en/component/mailto/,/index.php/en/component/mailto/,/en/contact/,301,high,yes,"Google Search Console 5xx report, 2026-08-31",Confirmed legacy mailto endpoint; exact rule only.
https://www.traditional-homes.gr/index.php/en/elounda,/index.php/en/elounda,/en/location/,301,high,yes,Old title is Elounda - Crete and old nav label was Elounda; new location page is the closest route.,Direct place/location equivalent in current Astro site.
https://www.traditional-homes.gr/index.php/en/links,/index.php/en/links,,301,low,no,Old title is links; no current equivalent route exists.,Do not redirect unknown or miscellaneous pages to the homepage.
https://www.traditional-homes.gr/index.php/en/links/2-uncategorised,/index.php/en/links/2-uncategorised,,301,low,no,Old title is Uncategorised; no current equivalent route exists.,Do not redirect Joomla category pages to the homepage.
https://www.traditional-homes.gr/robots.txt,/robots.txt,,301,none,no,Legacy robots file discovered during preflight.,No redirect mapping needed.
